地名,センター,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル,ごみ収集がない日
地名,センター,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル,ごみ収集がない日
麻苧町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
旭が丘	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
朝日町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
東町1丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
東町2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
東町3丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
油田町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
池ノ森	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
石橋町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
泉町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
磯町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
板荷	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
今宮町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
入粟野	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上野町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
大和田町(黒川西側)	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
大和田町(黒川東側)	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
御成橋町1丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
御成橋町2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
貝島町(黒川西側)	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
貝島町(黒川東側)	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
柏木	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
加園	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上石川	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
上大久保	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上粕尾	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上久我	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上材木町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上田町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上殿町(黒川西側)	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上殿町(黒川東側)	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
上永野	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上奈良部町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321
上南摩町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
上日向	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
亀和田町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
北赤塚町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
北半田	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
銀座1丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321
